"","artist","song","link","text"
"21","Blur","Dying Isn't Easy","/b/blur/dying+isnt+easy_20710175.html","This isn't the first time  
I've left it too late  
To get on top  
I made that mistake  
To be with someone  
Never find what you need  
We don't bail out  
And I can't sleep.  
  
You left me  
Just when I needed you  
You set me back  
Just when I thought I got back  
(Whistle, Do do do's, La la la's)  
Just when I thought I got back.  
  
This is the last time  
I make this mistake  
Can't see the stars  
Yeah it's too late  
To be with someone  
Never find what you need  
We don't bail out  
Yeah I can't sleep

"
"22","Blur","Fade Away","/b/blur/fade+away_20021070.html","They stumbled into their lives  
In a vague way became man and wife  
One got the other they deserved one another  
They settled in a brand new town  
With people from the same background  
They kept themselves busy  
Long hours left them dizzy  
Now when he's in she's out  
  
All you ever do is fade away  
They are not making plans  
Because now they understand  
All you ever do is fade away  
  
He noticed he had visible lines  
She worried about her behind  
Their birth had been the death of them  
It didn't really bother them  
Now when she's in, he's out

"
"23","Blur","Fool","/b/blur/fool_20021019.html","Sorry, but I don't understand  
The things you say they make no sense at all  
Funny but I think that you mean them all  
This time don't you  
  
I know that you think I'm a fool  
But couldn't you try to forgive a fool  
One more time  
  
Sorry but I'm not really listening  
I've got my mind on something else if I'm here  
If I'm here at all  
I know that you want me to go don't you  
But it's not as easy as it seems  
I know that you think I'm not here at all  
But I'm just as fed up as you  
  
I know that you want me to leave  
I'm amazed at how cold you can be  
Well may my weak and insipid soul grow stronger in your absence

"
"24","Blur","Fool's Day","/b/blur/fools+day_21071137.html","Wake up straight, caught out by the sun.  
On the first day of April.  
Out of bed, thought there was a plane crash.  
But I'm sure that I was  
Dreaming  
TV on, of course caffeine.  
A science of submission again  
Another day, on this little island, just a bell hangs on.  
  
Porridge done, I take my kid to school past the pound shop, Woolworth's  
Under bridge, where the subway the daytime, and the Westway flies by  
Then on my bike, down the Ladbroke Grove, to the forthcoming dramas  
A studio, and a love of all sweet music, we just can't let go  
Let go, let go, let go, let go  
  
So meditate, on what we've all become, on a cold day in springtime  
Civil war, is what were all born into, raise your left hand, right, sing.  
Don't capitulate to the forces of the marketplace, they've long departed  
Consolidate, the love we have together, on a cold day in springtime.

"
"25","Blur","For Tomorrow","/b/blur/for+tomorrow_20021033.html","He's a twentieth century boy  
With his hands on the rails  
Trying not to be sick again  
And holding on for tomorrow  
  
London ice cracks on a seamless line  
He's hanging on for dear life  
And so we hold each other tightly  
And hold on for tomorrow  
  
[Chorus]  
La, la la l-la, la, la la, l-la l-la la-la-la  
La, la la l-la, la, la la, l-la l-la la-la-la  
La, la la l-la, la, la la, l-la l-la la-la-la  
Holding on for tomorrow  
  
She's a twentieth century girl  
With her hands on the wheel  
Trying not to be sick again  
Seeing what she can borrow  
London's so nice back in your seamless rhymes  
But we're lost on the West way  
So we hold each other tightly  
And we can wait until tomorrow  
  
[Chorus]  
  
We're trying not to be sick again  
And holding on for tomorrow  
  
She's a twentieth century girl  
Holding on for dear life  
And so we hold each other tightly  
And hold on for tomorrow  
  
(Jim stops and gets out of the car  
Goes to a house in Emperor's Gate  
Through the door and to his room, and then he puts the TV on  
Turns it off and makes some tea  
Says modern life is rubbish)  
I'm holding on for tomorrow  
  
(Then Susan comes into the room  
She's a naughty girl with a lovely smile  
Says, 'let's take a drive to Primrose Hill  
It's windy there, and the view's so nice.'  
London ice can freeze your toes, like anyone, I suppose)  
You're holding on for tomorrow

"
"26","Blur","Fried","/b/blur/fried_20021101.html","Oh you are so very strange  
Sometimes I think you've gone insane  
Twisted hearts you've gone insane  
In this giddy world  
Couldn't you begin to go  
Where odd lines we hardly know  
Couldn't you put in a goal  
Just for me  
  
Did I say I want to know  
Talking about a goal  
Would you please leave me alone  
Can't you see I want to be on my own  
  
Oh, I would like to give you your head  
Just to see if you are dead  
Oh, I'd like to get into that pretty head  
And it would amuse me just to see  
How you feel about me  
How you feel about always getting fried  
  
Did I say I want to know  
We're talking about a goal  
Would you please leave alone  
Can't you see I want to be on my own  
Can't you see I want to be on my own  
  
Oh,I'm going to fly [Repeat: x 3

"
"27","Blur","Gene By Gene","/b/blur/gene+by+gene_20021084.html","I got a brain in left hand drive  
I don't asleep other side  
I ride a bullet like I'm Steve McQueen  
Each town I intervene  
A gram of keef and the barn is jumping  
It's alright we got time  
Got a radio hit in mind  
Can't see am I blind  
  
Every night and day  
In the U.S.A?..I DELETE MYSELF  
  
Got to know you gene by gene  
You're my jellybean  
Get out the shower  
And I'm force 15  
I'm dead I'm clean  
Fatboy and the barn is jumping  
It's alright it's just tight  
  
GOT to GET into A better Business  
DEEP down Happiness

"
"28","Blur","He Thought Of Cars","/b/blur/he+thought+of+cars_20021072.html","Moscow's still red  
The young man's dead  
Gone to heaven instead  
The evening news says he was confused  
The motorways will all merge soon  
Lottery winner buys the moon  
They've come to save us  
The space invaders are here  
  
He thought of cars  
And where, where to drive them  
And who to drive them with  
And there, there was no one, no one  
  
There's panic at London Heathrow  
Everybody wants to go up into the blue  
But there's a ten year queue  
Columbia is in top gear  
It shouldn't snow at this time of year  
Now America's shot gone  
And done the lot  
  
He thought of planes and where,  
Where to fly to  
And who to fly there with  
And there, there was no one, no one

"
"29","Blur","High Cool","/b/blur/high+cool_20021020.html","When you come here  
Which you sometimes do  
Don't think that I really want you to  
  
When you come here  
Which you always do  
Don't think that I expect you to  
  
Is that all I give you  
You talk too much  
Which you sometimes do  
Don't think that I really want you to  
  
And you talk too much  
But you always do  
Don't think that I really need you to  
Is that all I give you  
  
Is that all I give

"
"30","Blur","I'm All Over","/b/blur/im+all+over_20021107.html","I always knew that there would be someone somewhere  
Who had it in for me  
I always knew that there would be no-one nowhere  
Who was anything like me  
I'm all over  
All over  
All over  
I'm the only one  
I'm hanging around  
Going nowhere  
Waiting for it to happen to me  
I always knew that there would be no-one nowhere  
Who was anything like me  
I'm all over  
All over  
All over  
You're the only one  
I always knew that there would be someone somewhere  
Who had it in for me  
I always knew that there would be no-one nowhere  
Who was anything like me  
I'm all over  
All over  
All over  
You're the only one

"
