Composer,Title,Attribution Level,Genre,nPVI_Entire,Nine_Eight,pitch_correlation,pitch_entropy,parallel_motion,similar_motion,oblique_motion,FILENAME,t1_1,t1_2,t1_3,t1_4,t1_5,t1_6,t1_7,t2_1,t2_2,t2_3,t2_4,t2_5,t2_6,t2_7,t3_1,t3_2,t3_3,t3_4,t3_5,t3_6,t3_7,t4_1,t4_2,t4_3,t4_4,t4_5,t4_6,t4_7,t5_1,t5_2,t5_3,t5_4,t5_5,t5_6,t5_7,t6_1,t6_2,t6_3,t6_4,t6_5,t6_6,t6_7,t7_1,t7_2,t7_3,t7_4,t7_5,t7_6,t7_7,
Josquin des Prez,Jos0402a-Missa_Gaudeamus-Kyrie.krn,1,Mass,111.628,0,0.863779446,6.52061,0.072972973,11.96,64.95,Jos0402a,3.571,5.804,1.19,1.19,0,1.339,5.506,5.804,0.893,4.464,0.298,0.298,0,1.19,2.232,4.762,2.083,5.06,0.149,1.042,0.149,1.19,0.149,4.167,2.53,3.571,2.083,0.744,0.744,0,0.893,4.464,1.786,3.869,0.149,0.298,0.149,0.298,0.744,5.208,0.893,4.762,6.696,0.744,0.744,0.446,0.893,2.679,2.083,
Josquin des Prez,Jos0402b-Missa_Gaudeamus-Gloria.krn,1,Mass,109.729,0,0.895586486,6.98223,0.103053435,15.86,57.04,Jos0402b,4.499,6.041,1.093,1.864,0.9,0.643,4.692,4.434,0.386,4.949,0.257,0.45,0,0.707,1.735,3.92,2.763,5.591,0.321,0.771,0.578,2.121,0.964,4.37,2.442,4.306,0.964,0.578,1.992,0.064,1.028,3.856,2.057,4.242,0.386,0.193,0,0.257,0.964,5.656,1.478,2.892,4.756,0.193,0.964,0.514,1.093,3.213,1.864,
Josquin des Prez,Jos0402c-Missa_Gaudeamus-Credo.krn,1,Mass,109.726,4,0.932904567,7.19876,0.085517241,16.5,60.44,Jos0402c,2.552,4.122,0.864,0.942,1.139,0.942,6.832,5.418,0.707,3.494,0.118,0.51,0,0.51,1.099,4.28,1.649,5.3,0.236,0.628,0.275,1.217,1.335,4.633,2.434,4.829,0.667,0.707,1.767,0.079,1.453,5.771,1.688,4.24,0.746,0.118,0.236,0.157,0.864,6.046,1.021,3.691,5.418,0.079,0.707,0.432,1.963,4.476,1.61,
Josquin des Prez,Jos0402d-Missa_Gaudeamus-Sanctus.krn,1,Mass,99.4836,0,0.938132941,6.92462,0.068917018,15.21,60.52,Jos0402d,0.833,5.917,1.583,1.083,1,0.667,3.583,5.75,1.833,4.5,0.75,1.583,0.25,1.917,1,6.167,0.833,3.333,0.25,0.167,0.083,0.5,1.167,2.917,1.5,6.583,0,1.25,0.917,1,0.583,4.667,2.333,5.083,1.667,0.25,0.75,0,0.917,3.833,0.5,5.25,5.417,0.167,1.25,0.75,1.25,5.083,1.333,
Josquin des Prez,Jos0402e-Missa_Gaudeamus-Agnus.krn,1,Mass,109.163,1,0.874776303,6.62802,0.047021944,15.25,60.31,Jos0402e,2.693,4.257,1.043,0.869,2.433,0.521,4.17,4.257,0.695,4.865,0.434,1.216,0.087,1.39,1.129,5.908,1.129,4.865,0,0.174,1.216,1.825,1.043,4.083,1.738,4.257,0.608,1.129,1.825,0.608,2.085,5.039,2.346,4.692,1.39,0.521,0,0.261,0.608,6.603,0.434,1.911,5.474,0.174,0.869,0.348,1.39,3.823,1.564,
Josquin des Prez,Jos0403a-Missa_Pange_lingua-Kyrie.krn,1,Mass,115.316,0,0.899821546,6.49352,0.066852368,12.87,57.52,Jos0403a,3.318,4.581,0,0.316,0,3.318,5.371,4.897,1.422,3.16,0,0.158,0.158,1.106,2.686,2.37,1.738,4.739,0.316,0.474,0.79,0.474,1.106,4.897,1.58,4.739,1.738,0.158,0.316,0,2.054,4.739,0.158,3.791,0.158,0.948,0.158,0.632,2.212,4.739,3.16,6.161,4.739,1.264,0.948,0.632,1.264,4.739,1.58,
Josquin des Prez,Jos0403b-Missa_Pange_lingua-Gloria.krn,1,Mass,111.299,0,0.883596269,6.35733,0.083495146,18.35,47.78,Jos0403b,2.756,4.631,1.985,0.441,0,1.985,4.19,5.843,0.331,2.095,0.11,0,0.331,0.992,2.315,3.418,3.197,5.182,0,1.544,0.441,0.331,0.11,5.623,2.095,5.513,1.874,0.331,0.221,0,0.992,4.631,1.433,4.41,0.11,0.551,0.882,0.772,2.095,5.072,3.308,5.292,3.969,0.221,0.551,0.882,0.441,4.851,1.654,
Josquin des Prez,Jos0403c-Missa_Pange_lingua-Credo.krn,1,Mass,108.056,1,0.934820962,7.21232,0.075318656,15.26,48.99,Jos0403c,2.542,3.658,0.372,1.116,0,1.488,4.154,3.844,1.736,3.348,0.372,0.062,0.062,0.744,1.86,2.852,7.316,3.844,0.124,2.108,0.806,0.62,0.992,4.712,3.596,2.914,0.992,0.682,0,0,1.488,4.216,0.93,3.782,0.558,0.31,0.558,0.682,1.178,4.96,4.774,4.092,3.844,0.248,1.55,0.248,2.108,3.348,4.216,
Josquin des Prez,Jos0403d-Missa_Pange_lingua-Sanctus.krn,1,Mass,98.9636,0,0.91270137,6.86696,0.076470588,19.68,49.76,Jos0403d,0.822,5.306,1.046,0.897,0.747,1.121,3.513,4.335,3.662,5.83,1.046,1.271,0.149,2.018,2.317,5.381,0.822,3.812,0.149,0,0.075,0.523,1.794,2.915,1.57,5.082,0.149,1.42,1.196,0.822,0.747,3.961,1.719,4.933,1.495,0.149,0.747,0,1.196,4.484,0.523,4.933,4.709,0.224,0.972,0.822,1.57,5.007,2.018,
Josquin des Prez,Jos0403e-Missa_Pange_lingua-Agnus.krn,1,Mass,119.358,0,0.912820631,6.81996,0.07122905,13.01,60.69,Jos0403e,3.569,3.807,0.634,0.872,0.476,2.538,4.52,5.789,1.665,2.379,0.159,0.079,0.476,1.348,1.11,3.569,2.855,4.917,0.159,0.952,0.317,2.062,1.19,4.837,2.855,2.855,1.19,1.031,0.238,0,0.714,5.63,0.634,4.124,0.079,0.397,0.634,1.507,1.031,6.265,3.331,4.124,3.648,0.793,0.872,0.634,1.507,4.044,1.586,
Josquin des Prez,Jos0404a-Missa_Pro_Defunctis-Introit.krn,5,Mass,113.51,0,0.756464554,6.41965,0.091503268,8.92,67.38,Jos0404a,10.564,2.75,0.434,1.158,1.158,0.868,5.933,4.052,1.592,3.329,0,1.013,0.145,0.579,1.302,4.776,5.065,2.75,0.289,0.145,0.145,0.289,0.724,4.342,0.868,3.039,0,0,2.315,0.434,0.868,4.052,9.117,3.907,0.145,1.302,0,0.145,0.145,6.078,2.171,1.737,2.605,0.289,0.579,0,1.013,4.052,1.737,
Josquin des Prez,Jos0404b-Missa_Pro_Defunctis-Kyrie.krn,5,Mass,120.358,0,0.702258532,6.52828,0.06744868,9.73,69.34,Jos0404b,11.376,4.894,0.529,1.058,1.455,0.794,5.026,4.762,1.852,5.423,0,1.587,0,0.265,2.778,5.423,2.778,2.91,0.132,0.926,0,0.529,1.058,5.291,0.661,2.91,0,0,2.513,0.265,1.19,4.233,6.878,2.778,0,0.265,0.265,0,0.529,4.762,1.323,2.116,3.836,0,0.265,0,0.529,3.439,0.397,
Josquin des Prez,Jos0404c-Missa_Pro_Defunctis-Gradual.krn,5,Mass,116.764,1,0.946074626,6.59908,0.121555916,12.25,66.08,Jos0404c,3.365,4.087,1.282,0.481,1.843,0.16,5.689,5.288,1.442,4.087,0.24,0.801,0,1.042,1.923,6.651,2.324,3.606,0.801,0.08,0.08,0.401,0.24,4.808,1.122,4.407,0.16,0.561,1.923,0.321,1.442,6.01,4.327,3.446,1.042,0.16,0,0,0.24,6.09,0.561,2.885,4.087,0.08,0.881,0.08,0.801,5.529,3.125,
Josquin des Prez,Jos0404d-Missa_Pro_Defunctis-Offertory.krn,5,Mass,111.848,4,0.869401515,6.90025,0.144486692,12.82,62.54,Jos0404d,4.759,4.056,0.919,0.757,0.919,1.514,5.138,4.867,2.975,3.948,0.595,1.244,0,1.514,1.19,5.246,1.893,3.137,0.433,0.108,0.162,0.216,1.514,3.786,1.082,3.786,0.216,0.865,2.271,0.487,1.677,4.597,5.787,3.299,0.595,0,0.108,0,1.244,4.922,0.162,2.975,4.976,0.216,0.379,0.27,1.514,4.002,3.678,
Josquin des Prez,Jos0404e-Missa_Pro_Defunctis-Sanctus.krn,5,Mass,109.579,2,0.917694076,6.37294,0.087463557,10.03,71.48,Jos0404e,2.297,3.919,0.135,1.081,0.541,0.676,4.73,6.081,8.378,2.568,0.676,1.351,0.135,1.216,0.405,4.189,0.811,2.703,0,0.135,0,0.541,1.351,3.649,4.054,4.324,0.27,1.622,0.541,0.811,0.811,4.865,2.297,3.514,0.946,0.135,1.081,0,1.486,3.919,1.622,3.649,3.649,0,0.541,0.676,1.486,6.351,3.784,
Josquin des Prez,Jos0404f-Missa_Pro_Defunctis-Agnus.krn,5,Mass,111.17,0,0.872004448,6.16253,0.123076923,11.66,60.82,Jos0404f,11.043,3.272,2.045,1.431,0.204,0.613,3.681,4.499,0,2.658,0.204,0.204,0.204,0.613,1.636,4.294,5.112,3.885,0,1.431,0,1.022,0.409,4.09,3.476,4.09,1.227,0.204,1.636,0,1.227,3.476,3.885,3.885,0,0,0.204,0.409,1.227,6.135,4.499,2.863,3.681,0.204,0.818,0.204,0.613,2.658,0.818,
Josquin des Prez,Jos0404g-Missa_Pro_Defunctis-Communion.krn,5,Mass,107.348,4,0.89601439,6.02838,0.10915493,10.52,67.91,Jos0404g,5.469,4.375,0,2.813,0,1.875,5.469,5.625,2.5,1.094,2.188,2.031,0,0.625,0.313,3.75,0.625,2.969,0,0,0,0.313,1.719,4.531,6.406,3.438,0.625,1.719,1.094,0.313,1.563,2.969,2.344,2.656,0.313,0,0.625,0,0.313,4.219,0.938,5,6.719,0.313,0,0.469,0.938,5.156,3.594,
Josquin des Prez,Jos0405a-Missa_Sub_tuum_presidium-Kyrie.krn,5,Mass,117.231,0,0.896377419,6.28454,0.097130243,16.53,59.09,Jos0405a,2.753,3.254,1.377,1.502,0.626,1.752,4.631,4.881,0.125,3.63,0,0,0,1.001,2.128,5.382,1.752,5.131,1.752,0.626,0.626,0.501,0.626,4.881,1.377,3.504,2.003,1.752,0.626,0,2.879,4.506,0.876,4.756,0.125,0.25,0.125,0.125,2.378,3.88,0.751,5.257,4.631,0.25,3.63,0,2.753,3.129,1.502,
Josquin des Prez,Jos0405b-Missa_Sub_tuum_presidium-Gloria.krn,5,Mass,105.374,2,0.741317581,6.56144,0.106382979,17.67,55.82,Jos0405b,5.967,2.148,3.182,1.512,0.557,2.068,5.171,5.012,0.477,1.273,0.239,0,0.08,0.716,1.114,3.739,2.148,5.012,0.716,0.477,0.239,1.512,0.318,4.614,2.228,5.012,1.671,0.398,1.989,0,2.068,6.126,3.739,3.182,0.716,0.477,0.318,0,0.796,7.08,1.591,2.625,4.455,0.636,0.318,0.159,1.352,3.58,1.193,
Josquin des Prez,Jos0405c-Missa_Sub_tuum_presidium-Credo.krn,5,Mass,118.449,5,0.736076428,6.74519,0.088915956,13.95,54.11,Jos0405c,2.783,4.111,0.822,0.822,1.012,0.506,4.744,5.25,4.997,3.922,0.949,1.708,0,1.834,1.202,6.768,2.973,2.404,0.127,0.063,0.19,0.19,1.645,3.479,2.91,2.72,0.316,0.822,1.075,0.443,1.518,3.732,6.452,2.783,1.581,0.127,0,0,0.506,3.732,0.253,2.024,4.744,0.506,0.696,0.569,1.961,2.657,5.376,
Josquin des Prez,Jos0405d-Missa_Sub_tuum_presidium-Sanctus.krn,5,Mass,105.144,1,0.779651348,6.80467,0.110441767,16.21,59.71,Jos0405d,3.634,3.294,1.363,1.079,0.681,1.476,4.6,3.464,0,2.271,0.17,0,0,1.022,1.817,2.499,2.726,5.622,0.341,1.193,0.625,0.852,0.625,4.77,1.647,5.224,1.249,0.681,2.215,0,2.385,5.565,3.123,4.713,0.738,0.454,0.114,0.284,1.988,6.36,1.193,4.145,3.634,0.284,1.136,0.114,2.839,4.145,1.647,
