Composer,Title,Attribution Level,Genre,nPVI_Entire,Nine_Eight,pitch_correlation,pitch_entropy,parallel_motion,similar_motion,oblique_motion,FILENAME,t1_1,t1_2,t1_3,t1_4,t1_5,t1_6,t1_7,t2_1,t2_2,t2_3,t2_4,t2_5,t2_6,t2_7,t3_1,t3_2,t3_3,t3_4,t3_5,t3_6,t3_7,t4_1,t4_2,t4_3,t4_4,t4_5,t4_6,t4_7,t5_1,t5_2,t5_3,t5_4,t5_5,t5_6,t5_7,t6_1,t6_2,t6_3,t6_4,t6_5,t6_6,t6_7,t7_1,t7_2,t7_3,t7_4,t7_5,t7_6,t7_7,
Palestrina_Giovanni Perluigi da,32223.Kyrie.krn,,Mass,129.901,1,0.706466273,6.43385,0.2304038,15.98,58.85,32223.Kyrie.krn,3.428,4.897,0.686,0.686,1.763,0.686,5.289,4.603,1.861,4.897,0.196,1.665,0,1.077,0.881,5.877,0.881,4.701,0.588,0.098,0.392,0.588,0.294,3.722,0.686,6.268,0,0.392,2.84,1.175,1.567,5.583,3.918,4.31,1.371,0.098,0.196,0,0.098,5.583,0.196,3.232,5.289,0.098,0.881,0.098,1.273,4.016,1.077,
Palestrina_Giovanni Perluigi da,3239.Kyrie.krn,,Mass,120.595,0,0.93296706,6.13009,0.210084034,17.8,54.24,3239.Kyrie.krn,2.521,5.522,1.441,0.6,1.2,0.72,5.882,6.603,1.321,4.802,0.96,1.321,0,1.2,0.6,6.723,0.72,3.721,0,0.12,0.12,0.36,0.84,3.721,0.6,7.083,0.24,0.12,2.041,0.24,0.96,5.762,4.202,3.721,2.161,0.36,0.12,0,0.72,5.042,0.12,2.521,5.282,0.72,0.84,0.12,0.96,3.842,1.2,
Palestrina_Giovanni Perluigi da,32452.Gloria.krn,,Mass,123.166,1,0.668415978,6.56937,0.229508197,15.54,53.04,32452.Gloria.krn,4.277,3.81,1.011,0.544,1.633,0.467,4.821,5.054,3.421,3.344,0.7,1.011,0,1.011,0.855,4.743,2.644,3.266,0,0,0.7,0.778,0.622,3.188,3.655,4.588,0.389,0.622,1.633,0.7,1.244,4.199,7.465,2.566,1.089,0.233,0.389,0.078,0.544,4.121,1.633,2.566,3.733,0.389,0.7,1.089,0.389,4.432,3.655,
Palestrina_Giovanni Perluigi da,32505.Agnus_II.krn,,Mass,120.12,2,0.775004202,6.06715,0.191780822,14.8,60.9,32505.Agnus_II.krn,4.664,6.157,1.119,2.052,1.306,0.56,4.851,4.851,2.239,4.664,1.866,1.493,0.373,0.746,0.933,4.851,0.933,3.545,0.187,0,0.187,1.866,0,2.612,1.306,6.343,0.56,0.373,3.358,0.373,1.493,4.478,3.918,4.664,0.933,0.746,0.373,0,0,5.41,0.187,3.358,4.851,0.187,0.373,0.56,0.56,3.358,0.187,
Palestrina_Giovanni Perluigi da,32556.Agnus_II.krn,,Mass,123.382,2,0.852533056,6.21223,0.17562724,14.48,60.84,32556.Agnus_II.krn,5.476,4.611,1.297,1.873,0.576,0.865,4.611,5.331,1.585,3.746,0.288,1.441,0.288,1.009,1.729,4.467,1.873,3.17,0.288,0.432,0.432,0.576,1.009,3.746,2.017,4.467,0.432,2.161,2.305,0.432,0.576,6.34,4.467,2.882,0.432,0,0.288,0,0.865,5.187,0.432,2.45,3.89,0.144,1.009,0.144,1.585,3.89,2.882,
Palestrina_Giovanni Perluigi da,32596.Kyrie.krn,,Mass,110.341,1,0.597827017,5.78871,0.141304348,13.96,60.19,32596.Kyrie.krn,3.183,2.918,2.387,0.265,2.122,0.531,5.305,6.366,1.061,3.448,0,0.265,0,0,1.326,6.631,4.509,4.775,1.061,0,0.265,0,1.061,3.183,0.265,4.244,0.265,0,1.592,0,3.183,2.122,7.958,5.305,1.061,0,0,0,1.061,3.714,0,4.509,5.836,0,1.592,0.796,0.531,3.183,2.122,
Palestrina_Giovanni Perluigi da,32607.Agnus_II.krn,,Mass,108.783,0,0.829104123,6.18827,0.551851852,18.65,59.41,32607.Agnus_II.krn,3.3,3.156,1.578,2.869,0,1.291,3.443,4.448,1.722,3.156,0,0,0.717,1.004,1.004,3.587,2.439,5.022,0.287,2.009,0.287,1.722,0.574,5.452,5.308,4.161,2.009,1.865,0.287,0,1.148,5.308,0.861,2.439,0.43,0.574,0.717,0.717,1.722,4.878,2.152,3.443,4.591,0.43,1.435,0.861,0.43,3.156,2.009,
Palestrina_Giovanni Perluigi da,3281.Agnus_II.krn,,Mass,121.468,3,0.948913769,6.14087,0.109375,11,63.89,3281.Agnus_II.krn,4.013,3.344,1.003,0.502,0,1.171,5.017,5.017,1.171,4.181,0.669,0,0,2.007,1.003,5.853,3.344,4.515,0.167,0.167,0.836,0.334,0.836,4.515,3.846,3.679,2.341,0.669,0,0,0.502,3.679,1.338,3.177,0.502,0.334,0.167,0.334,1.338,4.348,2.007,4.849,5.518,1.003,1.003,1.672,0.669,4.849,2.508,
Palestrina_Giovanni Perluigi da,3319.Agnus.krn,,Mass,111.626,0,0.734421549,5.99099,0.074074074,12.48,56.16,3319.Agnus.krn,5.195,4.416,0.26,2.078,0.519,2.338,3.117,5.195,3.636,1.818,0,0,0.779,0.779,1.039,2.597,0.779,4.675,0,0.519,0,1.558,0.519,6.753,8.052,3.636,0.779,1.039,0.779,0,0.26,3.636,1.558,4.935,0,0,0,0,2.078,6.494,4.156,3.117,4.156,0.26,0,0.26,0,3.636,2.597,
Palestrina_Giovanni Perluigi da,3352.Agnus_I.krn,,Mass,128.123,1,0.502387713,5.91397,0.130952381,12.48,62.39,3352.Agnus_I.krn,5.814,2.907,3.198,0.291,1.744,0,4.942,6.977,0.291,2.616,0,0.291,0,0.291,2.035,6.977,6.395,3.488,0,1.453,0.291,0.581,0,4.07,1.163,3.779,0.872,0.581,1.453,0.291,1.163,4.36,5.523,3.488,0.581,0.291,0,0,1.453,5.814,1.744,1.453,3.488,0,1.453,0,0.581,2.616,3.198,
Palestrina_Giovanni Perluigi da,3354.Agnus_II.krn,,Mass,140.948,0,0.704801411,5.95587,0.101694915,9.15,72.63,3354.Agnus_II.krn,4.593,3.806,0.656,0.656,1.444,2.493,4.593,3.281,2.493,4.199,0.394,1.05,0.131,0.656,2.756,2.756,1.575,3.937,0.262,0.525,0.131,0.262,1.444,3.675,2.493,4.724,0.131,0,1.05,0.394,1.312,3.15,4.593,6.299,0.262,2.625,0.919,1.05,2.231,3.675,4.462,3.412,4.068,0.262,0.525,0.262,1.05,3.15,0.131,
Palestrina_Giovanni Perluigi da,3382.Gloria.krn,,Mass,114.205,1,0.672808143,6.66909,0.206586826,12.48,58.67,3382.Gloria.krn,3.464,3.911,0.391,0.95,1.061,0.95,4.134,3.911,2.57,3.128,0.447,1.117,0,1.397,0.559,3.799,2.402,3.911,0.503,0.056,0.67,1.006,1.173,3.855,4.693,4.413,0.223,1.173,1.788,0.838,0.838,4.637,5.587,3.352,0.894,0.279,0.223,0,0.95,4.022,1.006,3.464,3.631,0.447,1.061,0.615,1.341,4.19,4.972,
Palestrina_Giovanni Perluigi da,3462.Agnus_I.krn,,Mass,115.461,1,0.621221895,5.90975,0.181415929,16.88,57.19,3462.Agnus_I.krn,2.93,5.078,0.586,0,1.758,2.148,6.445,5.859,1.172,4.883,1.172,0.586,0.195,0.586,1.172,6.25,1.563,2.734,0.781,0.195,0.195,0.391,0.586,4.883,0.391,4.297,0.195,0,1.758,0.977,1.367,5.273,2.734,5.078,0,1.563,0.391,0.195,0.391,6.836,1.563,3.711,3.516,0.195,0.195,0,1.172,5.469,0.586,
Palestrina_Giovanni Perluigi da,3468.Agnus_I.krn,,Mass,123.492,2,0.483157476,6.02983,0.159533074,13.29,62.24,3468.Agnus_I.krn,7.924,3.487,0,2.853,0.158,1.902,4.754,4.754,1.426,3.011,0.951,0.634,0.317,0.317,0,4.12,0.317,4.754,0.317,0,0,1.743,1.109,5.547,4.913,4.596,0.317,0.792,1.268,0.158,0.317,4.596,2.06,5.547,0.158,0.792,0.634,0,1.109,5.864,2.536,3.487,3.962,0.317,0,0.317,0.158,4.754,0.951,
Palestrina_Giovanni Perluigi da,3483.Benedictus.krn,,Mass,114.143,1,0.47788349,6.12374,0.12585034,18.33,56.31,3483.Benedictus.krn,2.475,5.941,1.32,1.155,0.165,1.815,3.3,5.281,0.495,6.931,0,0.495,0.165,0,1.65,4.785,1.815,7.096,0.825,1.98,0,0.825,0.495,5.116,0.495,5.446,0,0,0.99,0.33,2.145,2.31,0.495,6.436,0.165,1.32,1.155,0.165,1.32,4.455,2.475,6.436,5.281,0,0,0,0.495,3.96,0,
Palestrina_Giovanni Perluigi da,3503.Sanctus.krn,,Mass,123.952,1,0.683089446,6.1587,0.157894737,12.53,60.47,3503.Sanctus.krn,6.135,3.834,0.46,0.92,0.613,1.534,5.368,4.908,1.38,3.988,0,1.227,0.153,0.613,0.92,4.908,3.221,3.988,0.613,0.46,0,0,1.227,4.908,0.613,3.528,0.153,0,2.607,0.307,0.92,4.448,9.969,3.988,0.153,0.153,0.153,0.153,0.613,5.521,0.92,3.528,5.061,0,0.153,0,0.92,3.681,1.074,
Palestrina_Giovanni Perluigi da,3519.Gloria.krn,,Mass,120.712,4,0.877777291,6.79672,0.128605769,11.9,63.62,3519.Gloria.krn,7.046,4.548,0.75,1.549,1.199,1.149,4.948,4.948,2.799,3.848,0.35,1.399,0,0.9,1.999,4.148,1.449,3.098,0.15,0.1,0,0.7,1.149,4.498,1.649,4.648,0.55,0.15,2.299,0.3,0.7,4.598,5.297,4.748,0.45,0.1,0.85,0,1.599,4.598,1.799,3.048,4.498,0.25,0,0.1,1.049,3.698,0.3,
Palestrina_Giovanni Perluigi da,3521.Kyrie.krn,,Mass,110.698,0,0.774712997,6.03802,0.178423237,12.67,63.09,3521.Kyrie.krn,5.386,5.027,1.436,0.539,1.616,0,5.386,5.386,4.668,5.027,0.539,0.898,0,0.718,1.257,6.104,1.795,3.591,0,0.359,0,0.539,0.18,3.411,0.539,4.847,0.359,0.359,2.873,0.718,0.898,4.847,7.181,3.411,1.077,0.18,0,0,0.18,5.206,0.359,2.513,3.591,0.18,0.898,0,1.257,3.95,0.718,
Palestrina_Giovanni Perluigi da,3563.Gloria.krn,,Mass,116.298,5,0.700338396,6.66629,0.137082601,15.42,56.09,3563.Gloria.krn,4.121,4.626,1.766,0.589,1.093,0.589,6.056,5.887,3.364,4.205,0.841,1.177,0,0.589,1.682,6.224,1.514,2.439,0,0.084,0.168,0.421,0.673,2.775,1.346,4.121,0.252,0.757,1.682,0.336,1.177,4.458,6.644,3.28,2.103,0.168,0.336,0,0.168,5.299,0.673,2.691,5.046,0.757,0.757,0.252,0.925,4.71,1.177,
Palestrina_Giovanni Perluigi da,3622.Sanctus.krn,,Mass,127.422,1,0.542152072,6.00932,0.176678445,12.76,61.31,3622.Sanctus.krn,4.605,5.099,0.987,1.48,0.329,0.987,4.77,4.441,0,3.947,0,0.164,0,0.164,1.645,3.454,4.276,5.921,0.493,1.316,0.493,1.48,0.164,5.592,2.796,4.77,1.48,0.329,1.48,0,1.48,5.263,2.467,5.428,0.164,0.658,0,0.329,0.822,7.237,1.48,2.796,4.441,0,0.658,0,0.493,2.796,0.822,
Palestrina_Giovanni Perluigi da,3653.Agnus_I.krn,,Mass,130.561,1,0.804390284,5.72664,0.1,17.65,58.27,3653.Agnus_I.krn,4.011,6.15,0,0.267,0.535,3.476,5.348,5.615,0.535,4.278,1.337,0.802,0,0,0.802,3.743,0.535,3.209,0.535,1.337,0,0.267,0.802,5.348,0.802,5.615,0.535,0.267,2.406,0.535,1.07,4.545,3.743,6.684,0,2.941,0.535,0.267,2.406,6.952,0.535,2.674,3.209,0,0.267,0,0.802,4.011,0.267,
Palestrina_Giovanni Perluigi da,3775.Sanctus.krn,,Mass,123.966,0,0.707398445,6.12723,0.230125523,18.03,57.1,3775.Sanctus.krn,3.972,5.354,0.864,0.691,1.382,0.173,5.699,5.354,1.9,5.699,0,0.691,0,0.518,0.691,6.39,1.382,5.527,0.173,0,0.518,0.173,0.345,3.972,0.518,6.045,0,0.345,2.073,0.864,1.554,4.836,4.318,4.318,0.691,0,0,0,0.173,4.145,0.691,4.318,5.009,0.173,1.554,0,0.864,4.145,1.9,
Palestrina_Giovanni Perluigi da,3835.Kyrie.krn,,Mass,124.689,2,0.74000051,6.27007,0.134564644,17.38,55.84,3835.Kyrie.krn,4.328,4.897,1.367,1.595,1.595,1.481,4.328,5.125,0.911,3.189,0.342,0.683,0.456,0.342,0.569,4.1,0.569,5.809,0.797,0.114,0,1.367,0.342,4.784,1.139,6.378,0,0.228,2.05,0.456,2.278,4.556,2.164,7.062,0.911,0.683,0.228,0.456,0.797,6.264,0.569,4.328,5.695,0,0,0.114,0.456,3.872,0.228,
Palestrina_Giovanni Perluigi da,3846.Kyrie.krn,,Mass,117.02,1,0.881197234,6.75187,0.06918239,8.96,72.28,3846.Kyrie.krn,5.313,3.896,0,0.708,1.181,1.063,5.431,4.25,1.417,4.014,1.181,1.063,0,0.472,1.063,5.313,0.236,3.188,0.708,0.236,0,0.708,0.945,5.549,2.007,3.778,0.236,0.354,2.479,0.354,0.826,4.841,5.195,4.959,1.417,0.354,0.354,0.118,1.299,6.021,0.236,4.25,4.132,0.118,0,0.472,1.063,6.257,0.945,
Palestrina_Giovanni Perluigi da,3923.Kyrie.krn,,Mass,124.262,0,0.587202042,6.29528,0.083815029,14.59,63.67,3923.Kyrie.krn,2.356,6.922,0,0.589,0.589,1.767,4.271,5.302,2.504,4.86,1.473,0.589,0.295,1.325,0.736,5.007,0,4.86,0.442,0,0,1.178,1.031,5.155,3.24,4.271,0.295,0.442,0.589,0.295,1.767,3.976,1.915,5.155,0.736,0.589,1.031,0,0.736,4.86,0.589,5.007,6.186,0.147,0,0.442,0.589,4.86,1.031,
Palestrina_Giovanni Perluigi da,4160.Agnus_I.krn,,Mass,126.792,0,0.439565329,6.00111,0.137755102,13.26,61.44,4160.Agnus_I.krn,5.368,3.38,0.795,0.795,1.193,1.392,5.765,3.579,2.783,3.181,0.994,0.994,0.199,0.398,0.596,3.777,0.398,4.573,0.199,0.398,0,1.59,0.398,4.97,6.362,4.97,0.994,0,1.988,0.199,0.398,3.777,3.777,3.976,0.596,0.596,1.392,0,1.392,5.169,2.584,2.584,3.976,0,0,0.398,0,5.169,1.988,
Palestrina_Giovanni Perluigi da,42.Gloria.krn,,Mass,116.235,2,0.635784514,6.53606,0.163235294,15.46,53.13,42.Gloria.krn,4.159,3.214,0.945,1.008,0.567,0.882,4.285,3.088,1.323,4.411,0.063,0.252,0,0.126,1.134,4.285,3.466,4.6,0.378,0.882,1.071,1.071,0.756,4.978,3.025,4.096,1.008,0.567,0.567,0,1.008,5.23,2.52,4.474,0.315,0.189,0,0.693,1.323,5.608,2.583,4.222,4.348,0.126,0.63,0.756,1.26,4.537,3.97,
Palestrina_Giovanni Perluigi da,4305.Gloria.krn,,Mass,120.923,1,0.851303932,6.78675,0.202295552,11.9,60.97,4305.Gloria.krn,7.912,4.13,1.571,1.222,0,1.105,3.258,3.723,1.047,2.734,0,0,0.291,0.465,2.676,2.152,3.781,4.13,0.407,1.513,0.233,1.163,0.291,4.596,4.654,3.898,1.862,0.873,0.407,0,0.931,4.654,1.745,4.538,0,0.931,0.407,0.291,1.803,5.876,4.712,3.258,3.083,0.058,0.931,0.698,0.465,3.49,2.036,
Palestrina_Giovanni Perluigi da,4346.Kyrie.krn,,Mass,132.517,2,0.721374584,6.45711,0.177184466,17.67,56.33,4346.Kyrie.krn,4.898,5.306,0.102,1.837,1.02,1.429,4.898,4.694,1.224,4.286,0.306,0.306,0.204,0.612,1.224,3.061,0.51,5.102,0,0.306,0,1.531,1.122,4.082,3.265,5.51,0.306,0.714,1.429,0.306,1.02,5.204,2.653,5.408,0.204,0.102,0.408,0,1.02,6.224,1.531,4.796,5.714,0.204,0,0.51,0.408,4.592,0.408,
Palestrina_Giovanni Perluigi da,4361.Kyrie.krn,,Mass,122.039,0,0.647064037,6.07717,0.135458167,18.15,55.86,4361.Kyrie.krn,2.148,5.078,0.391,0.781,2.148,0.195,5.273,4.297,0.781,5.664,0.781,1.172,0.195,0.977,1.367,7.031,0.586,3.125,0.195,0,0,0.977,0.195,3.906,0.586,5.664,0,0.781,2.148,1.367,1.367,6.445,3.906,5.859,1.367,0.195,0.195,0,0.391,6.641,0.391,3.32,4.492,0.195,0.781,0,1.563,4.492,0.586,
Palestrina_Giovanni Perluigi da,4407.Agnus_I.krn,,Mass,140.226,0,0.742472047,5.85914,0.179723502,12.77,63.11,4407.Agnus_I.krn,7.386,3.03,1.326,2.462,0,1.705,5.114,3.598,0.189,1.894,0.189,0,0,0,1.136,1.894,1.326,6.629,0.189,0.568,0,1.515,0.568,5.303,3.788,6.439,1.515,1.136,1.136,0,1.326,6.439,1.136,5.492,0,0.568,0,0.379,1.705,7.008,1.326,3.788,4.545,0.189,0.189,0.379,0.568,4.167,0.758,
Palestrina_Giovanni Perluigi da,4593.Kyrie.krn,,Mass,120.591,3,0.736725693,6.15331,0.159313725,16.57,54.42,4593.Kyrie.krn,2.988,3.984,1.195,0.299,2.789,1.096,4.88,5.976,2.59,4.681,0.1,2.092,0.199,0.398,0.797,6.972,2.39,4.283,1.096,0.697,0.1,0.398,0.598,5.876,0.498,4.084,0.299,0,2.49,1.096,1.693,5.777,4.183,3.884,0.299,0.498,0.797,0.1,0.598,4.183,0.896,2.789,3.586,0,0.697,0,0.398,3.685,0.996,
Palestrina_Giovanni Perluigi da,4620.Benedictus.krn,,Mass,112.738,0,0.720361407,5.82949,0.158333333,13.5,61.89,4620.Benedictus.krn,4.545,5.138,0.593,1.383,0.593,1.581,3.755,5.138,3.755,5.929,0.395,0.593,0,0.593,0.395,5.138,0.791,5.731,0.791,0,0,0.988,1.383,4.743,2.174,4.348,0.395,0.593,0.791,0.593,1.186,3.755,4.743,5.731,0,0.593,0.198,0,0.988,4.743,1.186,4.348,4.743,0.198,0,0,0.395,3.953,0.395,
Palestrina_Giovanni Perluigi da,465.Agnus_I.krn,,Mass,145.034,0,0.56831857,5.72467,0.152542373,15.01,60.16,465.Agnus_I.krn,3.14,4.589,0.966,1.691,0,0.966,4.589,4.831,0.966,4.831,0,0.242,0.242,0,1.208,3.14,1.449,6.522,0.242,1.208,0.242,0.483,0.966,5.797,1.932,5.797,1.449,0.483,1.208,0.242,1.208,5.556,2.415,5.556,0,0,0.966,0.242,1.449,6.039,2.174,4.106,5.314,0,1.208,0,0.483,2.899,0.966,
Palestrina_Giovanni Perluigi da,4661.Gloria.krn,,Mass,109.967,0,0.625004523,6.57532,0.135099338,17.13,52.55,4661.Gloria.krn,5.01,5.327,0.571,0.698,1.141,1.332,5.517,3.678,2.41,5.01,0.951,1.015,0.19,0.888,2.6,4.502,1.712,3.614,0.634,0.19,0.127,0.127,0.507,3.805,0.698,4.819,0.19,0,2.854,0.698,2.346,3.995,6.214,4.375,0.127,0.761,0.444,0.063,0.127,5.453,1.205,3.551,3.868,0.19,0.127,0,1.395,4.312,0.634,
Palestrina_Giovanni Perluigi da,4674.Benedictus.krn,,Mass,125.424,0,0.547119982,5.9881,0.16751269,15.03,60.79,4674.Benedictus.krn,2.394,7.979,1.596,0,1.33,0.266,5.319,6.117,1.596,5.319,0.266,1.064,0,0.266,0.532,5.851,1.064,5.319,0.266,0.266,0.798,0.266,0,4.255,0.266,6.383,0,0.266,1.596,0.266,0.532,4.521,4.255,5.053,2.128,0.266,0,0,0,5.319,0.266,3.191,6.649,0,0.532,0.532,1.064,3.191,1.596,
Palestrina_Giovanni Perluigi da,4713.Credo.krn,,Mass,106.838,1,0.687113535,6.45768,0.167539267,18.1,45.7,4713.Credo.krn,3.884,3.427,1.066,0.533,1.219,0.99,4.189,3.884,4.037,4.494,0.533,0.99,0.076,1.142,1.219,5.027,2.818,3.123,0.152,0.076,0.305,0.305,1.219,2.97,2.513,4.646,0.305,0.381,1.295,1.066,0.914,5.027,6.474,3.351,1.447,0.152,0.152,0.228,0.457,4.265,0.533,3.427,4.189,0.457,0.457,0.152,1.676,3.96,4.798,
Palestrina_Giovanni Perluigi da,4816.Benedictus.krn,,Mass,111.702,0,0.076261858,5.84359,0.110638298,19.24,57.56,4816.Benedictus.krn,3.83,6.383,1.915,0,1.702,0.851,6.17,6.383,1.489,5.106,2.128,0.851,0,0.213,1.915,6.596,1.702,5.319,0.638,0.213,0,0.213,0.213,5.532,1.489,4.043,0.851,0,0.851,1.915,2.128,2.553,1.277,3.83,0.213,2.34,0,0,0.426,4.255,0.851,3.617,3.617,0.213,0.213,0,0.638,5.319,0,
Palestrina_Giovanni Perluigi da,4832.Benedictus.krn,,Mass,112.864,0,0.796817351,5.97739,0.127272727,14.69,57.42,4832.Benedictus.krn,6.849,5.479,1.37,0.457,0.457,0.228,5.708,3.881,0.913,5.251,0.228,0,0,0.685,2.968,4.566,1.598,3.653,0.685,0.228,0,0.457,0,5.023,2.511,5.023,1.826,0,1.37,0,0.685,5.708,4.566,4.566,0,0.457,0,0,2.055,5.023,0.457,3.881,4.566,0,0.228,0.228,0.685,4.566,0.913,
Palestrina_Giovanni Perluigi da,4853.Agnus_I.krn,,Mass,122.915,0,0.613650572,6.13885,0.157692308,13.81,62.37,4853.Agnus_I.krn,4.235,4.072,2.28,1.466,2.117,0,4.56,4.723,1.14,3.746,0.651,1.466,0.163,0.814,1.14,6.678,1.14,3.42,0.489,0.651,0,0.977,0,3.909,0.651,5.537,0.326,1.14,2.932,0.814,1.303,6.189,5.212,3.909,1.629,0,0,0,0,6.678,0.326,2.28,4.072,0.163,1.303,0,0.814,4.072,0.814,
Palestrina_Giovanni Perluigi da,4939.Agnus_I.krn,,Mass,111.677,1,0.699930366,5.89121,0.216216216,16.43,62,4939.Agnus_I.krn,6.39,4.663,0.345,3.109,0.691,0.864,6.39,6.39,0.691,2.591,0.173,0.173,0.173,0.345,1.209,3.627,1.209,5.872,0.173,0,0,2.591,0.345,7.427,2.936,4.491,1.036,0.173,1.382,0.173,0.173,6.563,1.382,4.491,0,0.518,0.691,0.345,0.345,6.218,1.036,2.418,4.318,0.173,0,0.345,0.691,4.145,0.518,
Palestrina_Giovanni Perluigi da,4947.Agnus_I.krn,,Mass,113.318,1,0.725747371,5.71974,0.128440367,12.89,63.07,4947.Agnus_I.krn,5.577,4.808,0.962,0.385,2.692,0.577,5,4.808,1.538,5.385,0.192,0.962,0.192,0.192,1.923,5.769,1.154,2.885,1.346,0.577,0,0.385,0,5.385,0,4.038,0,0,3.462,0.577,1.346,5.962,8.269,4.423,0.385,1.538,0.192,0,0.385,4.423,1.154,2.5,3.654,0.385,0,0,0.769,3.269,0.577,
Palestrina_Giovanni Perluigi da,4982.Agnus_I.krn,,Mass,116.473,0,0.63001181,5.99979,0.109090909,14.71,58.46,4982.Agnus_I.krn,7.212,3.899,0,2.534,1.17,2.534,6.043,4.483,0.39,2.144,1.17,0.39,0.195,0.195,1.365,2.534,0.78,3.314,0.78,0.585,0,2.339,1.754,4.873,3.704,2.924,0.78,0.975,3.119,0.39,1.754,5.068,2.534,3.899,0,1.559,0,0,1.559,7.212,0.975,2.339,3.704,0,0,0.39,0.39,5.068,0.975,
Palestrina_Giovanni Perluigi da,5065.Sanctus.krn,,Mass,130.67,0,0.816809998,6.45795,0.115,13.07,62.31,5065.Sanctus.krn,6.394,4.092,0.256,0.512,0.512,0.895,6.777,6.394,1.279,2.813,0.512,0.512,0.128,1.023,0.895,5.499,0.256,3.325,0,0.512,0,0.384,1.279,5.371,1.535,5.627,0.128,0.639,1.407,0.256,0.767,7.545,5.371,2.941,0.512,0.128,0.128,0,0.895,5.115,0.256,3.453,4.604,0,1.023,0,1.279,5.243,1.535,
Palestrina_Giovanni Perluigi da,5080.Gloria.krn,,Mass,125.285,4,0.536329905,6.77105,0.178787879,13.82,57.92,5080.Gloria.krn,4.428,3.444,1.538,0.861,1.415,0.246,4.244,4.551,3.813,3.629,0.554,1.107,0.185,0.984,1.107,5.781,2.276,3.198,0.615,0.123,0.246,0.431,0.615,3.875,0.984,5.043,0.062,0.431,1.599,0.861,1.538,5.535,7.688,3.198,2.153,0.246,0.185,0,0.123,5.843,0.677,2.214,3.444,0.308,0.554,0,1.107,4.859,2.091,
Palestrina_Giovanni Perluigi da,5228.Sanctus.krn,,Mass,118.674,1,0.639048387,6.0877,0.101045296,8.88,57.56,5228.Sanctus.krn,12.779,3.722,0.993,0.993,2.978,0.744,3.598,3.226,1.737,3.722,0.248,0.993,0.248,0,1.117,3.226,2.854,3.97,0.372,0.744,0,1.241,0.248,4.218,2.854,4.963,0.248,0,2.357,0.744,1.117,4.218,9.181,3.474,0,0.62,0.248,0,1.241,2.854,1.737,2.854,3.846,0.124,0,0,0.248,2.233,0.868,
Palestrina_Giovanni Perluigi da,530.Gloria.krn,,Mass,132.249,1,0.691120424,6.64939,0.128205128,13.43,59.88,530.Gloria.krn,5.548,4.726,1.027,1.027,1.712,0.274,6.507,4.658,0.959,4.041,0.342,0.959,0,1.164,1.438,5.685,1.37,3.288,0.068,0.068,0.068,0.753,0.479,3.836,2.123,4.863,0.342,0.205,2.329,0.548,0.89,4.521,4.932,4.041,1.644,0.137,0.068,0,0.548,5.479,0.616,3.014,5.342,0.274,0.411,0.137,1.644,4.726,1.164,
Palestrina_Giovanni Perluigi da,5369.Gloria.krn,,Mass,127.796,4,0.865657216,6.76825,0.22913257,16.28,57.63,5369.Gloria.krn,5.769,3.989,0.57,1.425,0.214,0.855,4.63,4.131,1.068,3.49,0.214,0,0.214,0.641,0.641,3.704,2.208,6.054,0.071,0.783,0.071,0.855,0.427,6.197,2.991,5.342,0.997,0.427,0.57,0,0.641,5.057,2.707,5.128,0.285,0.285,0.427,0.142,1.211,5.484,1.638,5.271,5.199,0.142,0.855,0.499,0.427,4.843,1.211,
Palestrina_Giovanni Perluigi da,5398.Credo.krn,,Mass,114.733,0,0.753049359,6.4157,0.113207547,18.1,44.53,5398.Credo.krn,6.438,3.72,0.858,0.858,1.073,2.003,4.793,3.362,2.289,4.363,0.358,1.073,0.429,0.93,2.074,4.22,4.793,3.648,0.644,0.93,0,0.429,1.144,3.433,0.358,3.505,0.215,0,2.074,0.715,2.432,3.29,6.08,3.577,0.286,0.644,0.644,0.501,0.572,4.506,2.647,3.648,4.936,0.215,0.286,0,1.001,2.933,1.073,
Palestrina_Giovanni Perluigi da,5462.Sanctus.krn,,Mass,123.181,1,0.610000723,6.02255,0.125925926,13.45,59.59,5462.Sanctus.krn,6.929,5.669,0.63,1.417,1.102,1.89,3.622,3.937,1.575,4.882,0.472,0.63,0,0.472,1.575,2.52,0.472,5.669,0.315,0.157,0,0.945,1.102,4.094,3.78,5.827,0.315,0.472,1.417,0.315,1.732,2.835,4.409,6.299,0.157,1.102,0.315,0,2.205,4.409,1.26,3.937,4.409,0.472,0,0.157,0,3.622,0.472,
Palestrina_Giovanni Perluigi da,5506.Gloria.krn,,Mass,113.51,0,0.616835984,6.39807,0.184491979,20.05,49.36,5506.Gloria.krn,5.221,4.427,0.681,0.568,1.022,0.568,4.994,4.313,2.838,3.746,0.341,1.476,0,1.362,1.362,4.767,2.384,3.746,0.114,0,0.341,0,1.249,3.746,2.838,3.859,0.227,1.022,2.497,0.454,0.795,4.881,5.675,3.405,1.022,0.114,0,0.114,0.681,4.427,1.022,2.611,4.086,0.454,0.908,0.341,1.93,3.746,3.632,
